Star Cheerleader - Go Team Go!,"~~> Do you have what it takes to become a STAR cheerleader?! Cheer your way to the top!
~~> Compete against other cheerleaders in tryouts to win a spot on your high school team!
~~> Show off your cheering skills then get points for creativity and performance!

It's your chance to be the STAR cheerleader! Cheer your way to the varsity team by building amazing routines and then performing them! Earn adorable cheer outfits along the way and unlock awesome moves that will make YOU the best cheerleader around. Give me a G! Give me an O! Ready? GO!!!

Features:
> Choose from a selection of beautiful cheerleaders!
> Dress up your cheerleader in the most adorable clothing! 
> Follow routines and make your way through challenging and fun tryout levels! 
> Make your own amazing routines - get creative with your moves!  
> Save routines in your cheer playbook to remember each routine!
> Earn ADORABLE cheer outfits so you can look your very best!
> Collect points to unlock awesome new cheerleading moves!
> Uncover mystery uniforms with the mystery pack!

ABOUT Sunstorm
Sunstorm is the pioneer of the popular ""Maker"" and ""Sunnyville"" series of games. Founded in 2009, Sunstorm provides creative and fun experiences for kids and parents to enjoy together. Sunstorm is a subsidiary of TabTale, a leading, global creator of innovative games, interactive books and educational apps.
Visit us: http://www.tabtale.com/ 
Like us: http://www.facebook.com/TabTale
Follow us:@Tabtale
Watch us: http://www.youtube.com/iTabtale

CONTACT US 
Let us know what you think! Questions? Suggestions? Technical Support? Contact us 24/7 at WeCare@TabTale.com.

FOR PARENTS
The app is free to play but certain in-game items may require payment. The app includes:
-  advertising for TabTale and some third parties that redirect users to our sites, apps or third-party sites
-  social networks links to connect with others while playing
-  the option to accept push notifications to inform of exciting news (e.g. updates) 
- an age-gate to prevent access to some features to protect children (e.g. restrict behavioral ads or information sharing).
Privacy is important to us. The app may enable data collection for legal purposes (e.g. respond to support queries; enable, analyze and improve the app’s features and services; personalize content including targeted ads). For more information refer to our Privacy Policy: http://tabtale.com/privacy-policy/. Note that referred third parties are subject to their own policies. Use of the app is subject to our Terms of Use: http://tabtale.com/terms-of-use/.","[[], [], [], ['points', 'creativity'], ['links'], ['win', 'tryouts'], ['games'], ['redirect', 'users'], ['third-party', 'apps', 'sites'], ['features'], ['subject'], ['analyze'], ['news', 'e'], ['e', 'g'], ['collection'], ['look', 'best'], ['adorable'], ['routines'], ['moves'], ['fun', 'challenging'], ['kids', 'experiences'], ['fun', 'creative']]","[['information', 'Privacy', 'personalize', 'content', 'services', 'refer'], ['ads', 'targeted', 'awesome', 'unlock', 'points', 'including'], ['mystery', 'uniforms', 'varsity', 'way', 'team'], ['performance', 'get', 'skills', 'get', 'points'], ['social', 'networks', 'connect', 'others'], ['cheerleaders', 'spot', 'spot', 'high', 'school'], ['books', 'creator', 'interactive', 'innovative', 'leading', 'global', 'creator'], ['sites', 'parties'], ['books', 'educational', 'apps'], ['access', 'prevent', 'protect', 'children'], ['app', 'Terms', 'policies', 'parties', 'referred', 'third', 'parties'], ['app', 'enable', 'improve', 'queries', 'respond', 'support', 'queries'], ['exciting', 'g'], ['respond', 'purposes', 'children', 'e', 'g'], ['enable', 'data', 'purposes', 'legal'], ['>', 'outfits'], ['cheer', 'outfits', 'clothing', 'cheerleader'], ['make', 'creative', 'way', 'get', 'routines', 'cheer', 'playbook'], ['make', 'creative', 'YOU', 'get', 'new', 'cheerleading', 'moves'], ['way', 'tryout', 'fun', 'tryout', 'levels'], ['fun', 'parents'], ['experiences', 'provides']]"
Go Firebirds,"The official app of the Pacific Ridge Firebirds!

Features Include:
• Coverage of all sports
• Full Season Schedules
• Team Rosters & Player Profiles
• In-Game scoring
• Box Scores
• Post-Game Video Highlights
• Photo & Video Galleries
• Breaking News
• Sport Specific Notifications
• Livestream on Demand 
• Staff Directory
• Team Twitter, Instagram & Facebook Feeds",[],[]
Go Scorps,"The official app of the Camarillo High School Scorpions!

Features Include:
• Coverage of all sports
• Full Season Schedules
• Team Rosters & Player Profiles
• In-Game scoring
• Box Scores
• Post-Game Video Highlights
• Photo & Video Galleries
• Breaking News
• Sport Specific Notifications
• Staff Directory
• Team Twitter, Instagram & Facebook Feeds",[],[]
High School Cafe Manager,"Welcome to our newest time management game for kids who love their high school cafeteria food. During lunchtime at high school the cafeteria is bursting with crazy hungry students who are waiting for their delicious food. It's time to take matters into your own hands as High school cafeteria manager is out of town & all the hungry students are waiting for food. All the chefs of cafeteria are ready & are waiting for your orders as you have been appointed as the new café manager at high school. It is not easy to work as a manager at high school cafeteria, first of all you have to learn how to operate the cash register games with receipt and scanner moreover you also have to learn how to satisfy your customers so that they don’t get angry on kinds of delays. In High School Cafe Manager kids can learn how to handle money same like as grocery store cashier games with register and scanner do handle money in supermarket store. High School Cafe Manager is an educational game for young boys & girls. It is a fast paced time management game to test your time management skills all in a speedy way. Kids can improve their basic math learning skills like addition & subtraction. High School Cafe Manager is a time management game, customers are in queue, waiting to pay money and get their grocery items packed. An experienced cashier games with cash register knows how to operate the cash register games serving the customers in time.

High School Cafe Manager starts with a manual machine you have to enter the price of each item and get the total of all items. Tap on the customer to receive money. Cash drawer will open and you can put the received money and return the balance amount to the customer. You can upgrade your manual point of sale, with the automated one so you can scan each grocery item the customer brings to the counter, and ring up the price! Then accept payment via cash, credit card or through mobile NFC, and enter the total amount, followed by scanning the credit card or mobile!

Features:
* Fast paced Time Management Cash Register games with receipt and scanner Simulation
* Serve customers & make them happy to get rewards
* Modern payment methods; Credit Card Machine and NFC Mobile payments
* Unlock Point Of Sale Machine to scan items
* A fun filled cafe time management game
* Use Auto Complete Robot to get task done automatically
* Use Cool Candies to increase patience of customers at cafe","[['new', 'appointed'], ['manual'], ['credit', 'card'], ['experienced', 'cashier'], ['cashier', 'store'], ['receipt', 'games', 'scanner'], ['register', 'games', 'cash'], ['item'], ['price', 'enter'], ['items', 'get'], ['grocery'], ['balance', 'return'], ['satisfy', 'learn'], ['money', 'supermarket'], ['handle', 'learn'], ['ready'], ['waiting', 'delicious'], ['matters', 'take'], ['high', 'love'], ['school', 'cafeteria'], ['manager', 'school'], ['make', 'happy'], ['cafe', 'filled'], ['customers', 'serving'], ['skills'], ['paced', 'time'], ['test', 'game'], ['game', 'management'], ['angry', 'kinds']]","[['orders', 'caf'], ['machine', 'starts', 'upgrade', 'point'], ['scanning', 'cash', 'card', 'mobile', 'Features'], ['games', 'An'], ['grocery', 'games'], ['receipt', 'scanner', 'moreover'], ['operate', 'cash', 'register'], ['customer', 'grocery', 'total', 'get'], ['machine', 'item', 'enter', 'total', 'amount'], ['grocery', 'total'], ['one', 'money', 'get', 'scan'], ['money', 'amount', 'balance', 'amount', 'customer'], ['also', 'customers', 'first', 'learn', 'operate'], ['handle', 'store'], ['money', 'kids', 'scanner', 'handle', 'money'], ['waiting', 'cafeteria', 'chefs', 'orders'], ['students', 'food', 'students', 'waiting', 'food'], ['hands', 'time', 'hands', 'High', 'school'], ['school', 'kids'], ['high', 'High', 'school', 'cafeteria', 'food'], ['high', 'cafeteria', 'cafeteria', 'manager', 'town'], ['customers', 'get', 'happy', 'get', 'rewards'], ['fun', 'time'], ['games', 'time', 'increase', 'patience', 'customers'], ['management', 'speedy', 'way', 'time', 'math', 'learning', 'skills'], ['management', 'fast'], ['management', 'time', 'test', 'time', 'management'], ['customers', 'time', 'management', 'game', 'kids'], ['delays', 'get', 'young', 'boys', 'girls']]"
Canby High School,"This is the official Canby High School Smartphone App.  In this app you can find: 
CHS Events, Call Us, Map, About Us, News, CHS Web Page, Web Links, Twitter.  We also have links to ask questions or report problems.  También contamos con un enlace a un hablante de la lengua española.","[['questions'], ['un', 'enlace']]","[['ask', 'report', 'problems', 'links', 'find', 'CHS', 'Events'], ['hablante', 'con', 'n', 'contamos', 'con']]"
Kids Go To School - Teacher & Student Activities,"Do you love school activities? Then this is the game for you.

Go to school, have fun, and do some awesome activities in this back to school game.",[],[]
Sir John 2 Go,"This is the official Sir John Franklin High School (Yellowknife, NT) mobile app. PLEASE NOTE: This app is only useful for students, parents, and staff at this school. 

Students:  Track your homework with reminders, subscribe to updates from your teachers and the school, and always have up-to-date event calendars and other information at hand. 

Parents: Stay up-to-date with school news and calendar updates.  Optionally, your child may share their homework list with you.

Other benefits: 

* Push notifications will keep you updated about school closures and other important news. 
* Add a school event to your phone’s calendar with one click, or spread the word by social media, email or text message. 
* You’ll always have your school calendars and student resources on hand and up-to-date. 
* Conveniently e-mail, phone, or navigate to the school, or reach the website or social media. 

Visit http://sirjohn.appazur.com to learn more.

This is a new product designed for your school. If you have suggestions or problems, we welcome you to contact us using the Feedback feature on the Help screen. Thank you.","[['text', 'email'], ['word'], ['parents', 'staff'], ['students', 'useful'], ['product'], ['phone', 'school'], ['calendars', 'event'], ['updated', 'school'], ['news'], ['subscribe', 'updates'], ['list']]","[['media', 'message'], ['media', 'spread', 'click', 'social'], ['students', 'school'], ['app', 'parents'], ['This', 'new', 'school', 'designed'], ['navigate', 'event'], ['information', 'up-to-date', 'calendars', 'information', 'hand'], ['closures', 'keep', 'notifications', 'keep', 'updated'], ['school', 'important', 'calendar', 'closures'], ['reminders', 'teachers'], ['share', 'Other', 'benefits', 'homework']]"
"Mayfield Indep. Schools, KY","The official Mayfield Indep. Schools, KY mobile app provides you with the best and easiest way to stay connected with our school. We’ll keep you “in the know” with our latest news, notifications, and other updates. The consolidated “stream-view” of our social media accounts and our interactive events calendars will make it easy for you to stay involved. Other resources such as our contact directory, student grades & attendance portal, lunch menus, documents, and even athletics scores will help make our mobile app even more valuable to you.

KEY FEATURES

• Personalize the type of information and content that is most important to you
• Customizable “timeline view” keeps our latest news, events, and updates front and center
• Interactive Events Calendar makes it easy to add desired events right to your device calendar 
• Documents and forms can be viewed, downloaded, printed, and shared
• Access Maps & Real-Time Directions with our app
• Contact Directories enabling you to call and email staff members from within our app
• Nutrition Information & Menus can be viewed, downloaded, printed, and shared
• View, save, print, and share photos that upload directly to the app; access our Instagram®, Flickr®, and Tumblr® albums
• View, save, and share videos we upload directly to the app; watch our Vimeo® and YouTube® channels
• Check out all of our social media activity on Twitter® and Facebook® in one convenient “stream-view”
• SchoolCast® Alerts can be received as “push notifications” within our app
• Parents: You can access your student’s grading and attendance portal/account from within our app","[[], ['print', 'share'], ['involved', 'Other'], ['make', 'easy'], ['news', 'latest'], ['device'], ['front', 'updates'], ['events', 'interactive'], [], []]","[['mobile', 'make', 'members', 'app', 'email', 'staff'], ['photos', 'save'], ['resources', 'stay'], ['calendars', 'stay', 'stay', 'connected', 'school'], ['know', 'keeps', 'latest', 'news', 'events'], ['calendar', 'right', 'Documents', 'events', 'lunch', 'menus', 'documents'], ['events', 'center'], ['calendars', 'accounts', 'center', 'Interactive', 'Events'], ['account', 'attendance', 'portal', 'keeps', 'view', 'latest'], ['information', 'content', 'grades', 'student', 'directory', 'type']]"
Go MPCougars Front Row,"With Go MPCougars Front Row, fans can follow the action on all Manassas Park High School teams as if they were in the front row for every game! 

Created by PrestoSports in partnership with Manassas Park High School, Go MPCougars Front Row gives fans access to score updates, statistics, game recaps and more. 

Receive breaking news, scores and alerts by signing up for notifications. Fans click the notifications button on the more tab to enable the alerts and set your sport preferences.

Features:

-Notifications
-Schedules
-Live Scoring
-Event Statistics
-Event recaps 
-Audio and video links (when available)
-Photo galleries","[['sport', 'set'], ['tab'], ['access', 'fans'], ['statistics', 'updates']]","[['alerts', 'preferences'], ['notifications', 'button', 'enable', 'alerts'], ['score', 'gives', 'fans', 'follow', 'action'], ['game', 'score', 'statistics', 'game', 'recaps']]"
Arien Go Home - ball-toss game,This is a ball-toss game to put the aliens who are walking on the ground to the UFO.,[],[]
